from,to,distance,accessible
room_gf_28,corridor_gf_33,13.6,true
corridor_gf_33,room_gf_28,13.6,true
room_gf_29,corridor_gf_7,13.88,true
corridor_gf_7,room_gf_29,13.88,true
room_gf_30,corridor_gf_7,15.94,true
corridor_gf_7,room_gf_30,15.94,true
room_gf_31,corridor_gf_7,16.28,true
corridor_gf_7,room_gf_31,16.28,true
room_gf_31,corridor_gf_33,42.79,true
corridor_gf_33,room_gf_31,42.79,true
room_gf_31,corridor_gf_6,61.19,true
corridor_gf_6,room_gf_31,61.19,true
room_gf_32,corridor_gf_100,14.61,true
corridor_gf_100,room_gf_32,14.61,true
room_gf_32,corridor_gf_27,62.12,true
corridor_gf_27,room_gf_32,62.12,true
room_gf_32,corridor_gf_26,84.78,true
corridor_gf_26,room_gf_32,84.78,true
room_gf_32,corridor_gf_63,217.26,true
corridor_gf_63,room_gf_32,217.26,true
room_gf_33,corridor_gf_27,69.71,true
corridor_gf_27,room_gf_33,69.71,true
room_gf_33,corridor_gf_61,218.21,true
corridor_gf_61,room_gf_33,218.21,true
room_gf_33,corridor_gf_62,228.68,true
corridor_gf_62,room_gf_33,228.68,true
room_gf_34,corridor_gf_27,37.35,true
corridor_gf_27,room_gf_34,37.35,true
room_gf_34,corridor_gf_41,39.12,true
corridor_gf_41,room_gf_34,39.12,true
room_gf_34,corridor_gf_26,43.54,true
corridor_gf_26,room_gf_34,43.54,true
room_gf_34,corridor_gf_48,77.34,true
corridor_gf_48,room_gf_34,77.34,true
room_gf_34,corridor_gf_30,81.26,true
corridor_gf_30,room_gf_34,81.26,true
room_gf_34,corridor_gf_63,175.68,true
corridor_gf_63,room_gf_34,175.68,true
room_gf_35,corridor_gf_43,10.35,true
corridor_gf_43,room_gf_35,10.35,true
room_gf_36,corridor_gf_44,10.5,true
corridor_gf_44,room_gf_36,10.5,true
room_gf_37,corridor_gf_45,11.82,true
corridor_gf_45,room_gf_37,11.82,true
room_gf_38,corridor_gf_43,11.22,true
corridor_gf_43,room_gf_38,11.22,true
room_gf_39,corridor_gf_44,11.11,true
corridor_gf_44,room_gf_39,11.11,true
room_gf_156,corridor_gf_45,9.07,true
corridor_gf_45,room_gf_156,9.07,true
room_gf_41,corridor_gf_46,10.05,true
corridor_gf_46,room_gf_41,10.05,true
room_gf_42,corridor_gf_46,9.06,true
corridor_gf_46,room_gf_42,9.06,true
room_gf_43,corridor_gf_47,10.56,true
corridor_gf_47,room_gf_43,10.56,true
room_gf_44,corridor_gf_47,12.98,true
corridor_gf_47,room_gf_44,12.98,true
room_gf_45,corridor_gf_23,14.89,true
corridor_gf_23,room_gf_45,14.89,true
room_gf_46,corridor_gf_20,10.28,true
corridor_gf_20,room_gf_46,10.28,true
room_gf_46,corridor_gf_23,29.08,true
corridor_gf_23,room_gf_46,29.08,true
room_gf_46,corridor_gf_22,53.23,true
corridor_gf_22,room_gf_46,53.23,true
room_gf_46,corridor_gf_21,64.88,true
corridor_gf_21,room_gf_46,64.88,true
room_gf_47,corridor_gf_20,15.69,true
corridor_gf_20,room_gf_47,15.69,true
room_gf_48,corridor_gf_21,54.38,true
corridor_gf_21,room_gf_48,54.38,true
room_gf_48,corridor_gf_45,90.72,true
corridor_gf_45,room_gf_48,90.72,true
room_gf_49,corridor_gf_20,44.64,true
corridor_gf_20,room_gf_49,44.64,true
room_gf_49,corridor_gf_21,53.14,true
corridor_gf_21,room_gf_49,53.14,true
room_gf_49,corridor_gf_22,68.72,true
corridor_gf_22,room_gf_49,68.72,true
room_gf_49,corridor_gf_45,103.13,true
corridor_gf_45,room_gf_49,103.13,true
room_gf_50,corridor_gf_68,12.49,true
corridor_gf_68,room_gf_50,12.49,true
room_gf_51,corridor_gf_18,12.61,true
corridor_gf_18,room_gf_51,12.61,true
room_gf_52,corridor_gf_68,10.42,true
corridor_gf_68,room_gf_52,10.42,true
room_gf_53,corridor_gf_67,11.29,true
corridor_gf_67,room_gf_53,11.29,true
room_gf_157,corridor_gf_67,9.5,true
corridor_gf_67,room_gf_157,9.5,true
room_gf_55,corridor_gf_66,9.67,true
corridor_gf_66,room_gf_55,9.67,true
room_gf_56,corridor_gf_66,9.96,true
corridor_gf_66,room_gf_56,9.96,true
room_gf_57,corridor_gf_65,8.59,true
corridor_gf_65,room_gf_57,8.59,true
room_gf_58,corridor_gf_65,9.25,true
corridor_gf_65,room_gf_58,9.25,true
room_gf_59,corridor_gf_64,10.91,true
corridor_gf_64,room_gf_59,10.91,true
room_gf_60,corridor_gf_64,11.88,true
corridor_gf_64,room_gf_60,11.88,true
room_gf_61,corridor_gf_63,11.02,true
corridor_gf_63,room_gf_61,11.02,true
room_gf_61,corridor_gf_16,24.49,true
corridor_gf_16,room_gf_61,24.49,true
room_gf_61,corridor_gf_61,37.35,true
corridor_gf_61,room_gf_61,37.35,true
room_gf_61,corridor_gf_64,42.36,true
corridor_gf_64,room_gf_61,42.36,true
room_gf_61,corridor_gf_62,42.58,true
corridor_gf_62,room_gf_61,42.58,true
room_gf_61,corridor_gf_25,121.5,true
corridor_gf_25,room_gf_61,121.5,true
room_gf_61,corridor_gf_26,122.03,true
corridor_gf_26,room_gf_61,122.03,true
room_gf_61,corridor_gf_48,144.59,true
corridor_gf_48,room_gf_61,144.59,true
room_gf_61,corridor_gf_24,155.86,true
corridor_gf_24,room_gf_61,155.86,true
room_gf_61,corridor_gf_50,157.98,true
corridor_gf_50,room_gf_61,157.98,true
room_gf_62,corridor_gf_63,28.05,true
corridor_gf_63,room_gf_62,28.05,true
room_gf_62,corridor_gf_16,32.35,true
corridor_gf_16,room_gf_62,32.35,true
room_gf_62,corridor_gf_62,37.98,true
corridor_gf_62,room_gf_62,37.98,true
room_gf_62,corridor_gf_61,42.93,true
corridor_gf_61,room_gf_62,42.93,true
room_gf_62,corridor_gf_25,160.27,true
corridor_gf_25,room_gf_62,160.27,true
room_gf_62,corridor_gf_48,177.16,true
corridor_gf_48,room_gf_62,177.16,true
room_gf_62,corridor_gf_34,257.04,true
corridor_gf_34,room_gf_62,257.04,true
room_gf_63,corridor_gf_16,11.07,true
corridor_gf_16,room_gf_63,11.07,true
room_gf_63,corridor_gf_61,17.71,true
corridor_gf_61,room_gf_63,17.71,true
room_gf_63,corridor_gf_63,21.4,true
corridor_gf_63,room_gf_63,21.4,true
room_gf_63,corridor_gf_62,25.76,true
corridor_gf_62,room_gf_63,25.76,true
room_gf_63,corridor_gf_65,82.86,true
corridor_gf_65,room_gf_63,82.86,true
room_gf_63,corridor_gf_26,122.07,true
corridor_gf_26,room_gf_63,122.07,true
room_gf_63,corridor_gf_48,135.29,true
corridor_gf_48,room_gf_63,135.29,true
room_gf_63,corridor_gf_9,174.95,true
corridor_gf_9,room_gf_63,174.95,true
room_gf_63,corridor_gf_36,194.65,true
corridor_gf_36,room_gf_63,194.65,true
room_gf_63,corridor_gf_34,221.57,true
corridor_gf_34,room_gf_63,221.57,true
room_gf_64,corridor_gf_62,21.95,true
corridor_gf_62,room_gf_64,21.95,true
room_gf_64,corridor_gf_16,38.99,true
corridor_gf_16,room_gf_64,38.99,true
room_gf_64,corridor_gf_63,54.95,true
corridor_gf_63,room_gf_64,54.95,true
room_gf_64,corridor_gf_22,174.18,true
corridor_gf_22,room_gf_64,174.18,true
room_gf_64,corridor_gf_24,218.52,true
corridor_gf_24,room_gf_64,218.52,true
room_gf_64,corridor_gf_36,238.89,true
corridor_gf_36,room_gf_64,238.89,true
room_gf_65,corridor_gf_62,7.63,true
corridor_gf_62,room_gf_65,7.63,true
room_gf_65,corridor_gf_16,25.42,true
corridor_gf_16,room_gf_65,25.42,true
room_gf_65,corridor_gf_63,43.97,true
corridor_gf_63,room_gf_65,43.97,true
room_gf_65,corridor_gf_64,84.69,true
corridor_gf_64,room_gf_65,84.69,true
room_gf_65,corridor_gf_65,105.12,true
corridor_gf_65,room_gf_65,105.12,true
room_gf_65,corridor_gf_160,146.44,true
corridor_gf_160,room_gf_65,146.44,true
room_gf_65,corridor_gf_24,203.88,true
corridor_gf_24,room_gf_65,203.88,true
room_gf_66,corridor_gf_62,15.37,true
corridor_gf_62,room_gf_66,15.37,true
room_gf_66,corridor_gf_61,18.68,true
corridor_gf_61,room_gf_66,18.68,true
room_gf_66,corridor_gf_16,31.8,true
corridor_gf_16,room_gf_66,31.8,true
room_gf_66,corridor_gf_60,37.29,true
corridor_gf_60,room_gf_66,37.29,true
room_gf_66,corridor_gf_63,50.91,true
corridor_gf_63,room_gf_66,50.91,true
room_gf_67,corridor_gf_150,11.43,true
corridor_gf_150,room_gf_67,11.43,true
room_gf_67,corridor_gf_63,61.55,true
corridor_gf_63,room_gf_67,61.55,true
room_gf_67,corridor_gf_15,88.4,true
corridor_gf_15,room_gf_67,88.4,true
room_gf_67,corridor_gf_160,138.45,true
corridor_gf_160,room_gf_67,138.45,true
room_gf_67,corridor_gf_41,181.41,true
corridor_gf_41,room_gf_67,181.41,true
room_gf_67,corridor_gf_5,237.21,true
corridor_gf_5,room_gf_67,237.21,true
room_gf_67,corridor_gf_29,249.52,true
corridor_gf_29,room_gf_67,249.52,true
room_gf_68,corridor_gf_62,27.76,true
corridor_gf_62,room_gf_68,27.76,true
room_gf_68,corridor_gf_64,104.83,true
corridor_gf_64,room_gf_68,104.83,true
room_gf_69,corridor_gf_62,27.23,true
corridor_gf_62,room_gf_69,27.23,true
room_gf_69,corridor_gf_26,118.96,true
corridor_gf_26,room_gf_69,118.96,true
room_gf_69,corridor_gf_9,155.51,true
corridor_gf_9,room_gf_69,155.51,true
room_gf_69,corridor_gf_24,185.78,true
corridor_gf_24,room_gf_69,185.78,true
room_gf_69,corridor_gf_36,194.27,true
corridor_gf_36,room_gf_69,194.27,true
room_gf_69,corridor_gf_34,220.37,true
corridor_gf_34,room_gf_69,220.37,true
room_gf_70,corridor_gf_62,20.47,true
corridor_gf_62,room_gf_70,20.47,true
room_gf_70,corridor_gf_15,70.97,true
corridor_gf_15,room_gf_70,70.97,true
room_gf_70,corridor_gf_64,86.05,true
corridor_gf_64,room_gf_70,86.05,true
room_gf_70,corridor_gf_26,127.12,true
corridor_gf_26,room_gf_70,127.12,true
room_gf_70,corridor_gf_34,228.54,true
corridor_gf_34,room_gf_70,228.54,true
room_gf_71,corridor_gf_150,16.65,true
corridor_gf_150,room_gf_71,16.65,true
room_gf_71,corridor_gf_62,32.12,true
corridor_gf_62,room_gf_71,32.12,true
room_gf_72,corridor_gf_60,12.51,true
corridor_gf_60,room_gf_72,12.51,true
room_gf_73,corridor_gf_60,10.49,true
corridor_gf_60,room_gf_73,10.49,true
room_gf_74,corridor_gf_59,13.3,true
corridor_gf_59,room_gf_74,13.3,true
room_gf_75,corridor_gf_59,11.11,true
corridor_gf_59,room_gf_75,11.11,true
room_gf_76,corridor_gf_58,12.3,true
corridor_gf_58,room_gf_76,12.3,true
room_gf_77,corridor_gf_58,10.63,true
corridor_gf_58,room_gf_77,10.63,true
room_gf_78,corridor_gf_57,11.75,true
corridor_gf_57,room_gf_78,11.75,true
room_gf_79,corridor_gf_57,12.33,true
corridor_gf_57,room_gf_79,12.33,true
room_gf_80,corridor_gf_56,8.65,true
corridor_gf_56,room_gf_80,8.65,true
room_gf_81,corridor_gf_56,11.02,true
corridor_gf_56,room_gf_81,11.02,true
room_gf_82,corridor_gf_22,264.7,true
corridor_gf_22,room_gf_82,264.7,true
room_gf_83,corridor_gf_11,19.41,true
corridor_gf_11,room_gf_83,19.41,true
room_gf_83,corridor_gf_10,35.83,true
corridor_gf_10,room_gf_83,35.83,true
room_gf_84,corridor_gf_11,44.58,true
corridor_gf_11,room_gf_84,44.58,true
room_gf_84,corridor_gf_51,69.55,true
corridor_gf_51,room_gf_84,69.55,true
room_gf_84,corridor_gf_6,167.28,true
corridor_gf_6,room_gf_84,167.28,true
room_gf_85,corridor_gf_9,46.51,true
corridor_gf_9,room_gf_85,46.51,true
room_gf_85,corridor_gf_26,119.52,true
corridor_gf_26,room_gf_85,119.52,true
room_gf_86,corridor_gf_10,17.83,true
corridor_gf_10,room_gf_86,17.83,true
room_gf_86,corridor_gf_54,40.79,true
corridor_gf_54,room_gf_86,40.79,true
room_gf_86,corridor_gf_42,48.01,true
corridor_gf_42,room_gf_86,48.01,true
room_gf_86,corridor_gf_11,59.88,true
corridor_gf_11,room_gf_86,59.88,true
room_gf_87,corridor_gf_26,26.89,true
corridor_gf_26,room_gf_87,26.89,true
room_gf_87,corridor_gf_48,36.43,true
corridor_gf_48,room_gf_87,36.43,true
room_gf_87,corridor_gf_50,57.05,true
corridor_gf_50,room_gf_87,57.05,true
room_gf_87,corridor_gf_25,66.54,true
corridor_gf_25,room_gf_87,66.54,true
room_gf_87,corridor_gf_51,77.04,true
corridor_gf_51,room_gf_87,77.04,true
room_gf_87,corridor_gf_44,106.71,true
corridor_gf_44,room_gf_87,106.71,true
room_gf_87,corridor_gf_45,127.78,true
corridor_gf_45,room_gf_87,127.78,true
room_gf_88,corridor_gf_54,28.5,true
corridor_gf_54,room_gf_88,28.5,true
room_gf_89,corridor_gf_53,11.48,true
corridor_gf_53,room_gf_89,11.48,true
room_gf_90,corridor_gf_160,108.78,true
corridor_gf_160,room_gf_90,108.78,true
room_gf_90,corridor_gf_26,148.49,true
corridor_gf_26,room_gf_90,148.49,true
room_gf_90,corridor_gf_25,188.67,true
corridor_gf_25,room_gf_90,188.67,true
room_gf_90,corridor_gf_43,210.63,true
corridor_gf_43,room_gf_90,210.63,true
room_gf_90,corridor_gf_44,229.08,true
corridor_gf_44,room_gf_90,229.08,true
room_gf_90,corridor_gf_45,250.19,true
corridor_gf_45,room_gf_90,250.19,true
room_gf_91,corridor_gf_52,11.96,true
corridor_gf_52,room_gf_91,11.96,true
room_gf_92,corridor_gf_51,11.41,true
corridor_gf_51,room_gf_92,11.41,true
room_gf_93,corridor_gf_51,12.86,true
corridor_gf_51,room_gf_93,12.86,true
room_gf_94,corridor_gf_50,11.83,true
corridor_gf_50,room_gf_94,11.83,true
room_gf_95,corridor_gf_48,23.31,true
corridor_gf_48,room_gf_95,23.31,true
room_gf_96,corridor_gf_48,13.3,true
corridor_gf_48,room_gf_96,13.3,true
room_gf_97,corridor_gf_48,11.51,true
corridor_gf_48,room_gf_97,11.51,true
room_gf_98,corridor_gf_26,49.59,true
corridor_gf_26,room_gf_98,49.59,true
room_gf_98,corridor_gf_15,118.08,true
corridor_gf_15,room_gf_98,118.08,true
room_gf_99,corridor_gf_26,35.6,true
corridor_gf_26,room_gf_99,35.6,true
room_gf_99,corridor_gf_41,93.75,true
corridor_gf_41,room_gf_99,93.75,true
room_gf_100,corridor_gf_21,21.13,true
corridor_gf_21,room_gf_100,21.13,true
